run_timestamp,run_date,wallet_label,coldkey,hotkey,hotkey_name,current_alpha,period_start_alpha,earned_alpha,notes
2026-06-04 21:19:42 UTC,2026-06-04,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30708.444725,30658.284039,50.160686,validators:TAO.com
2026-06-04 21:20:13 UTC,2026-06-04,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1596.058445,1594.286515,1.771930,validators:TAO.com
2026-06-04 21:20:44 UTC,2026-06-04,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9848.130764,9838.171782,9.958982,validators:Rizzo (Insured)
2026-06-04 21:21:16 UTC,2026-06-04,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6522.634891,6515.993383,6.641508,validators:Tensorplex Labs
2026-06-04 21:22:07 UTC,2026-06-04,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8277.524250,8267.311056,10.213194,validators:Datura
2026-06-05 21:11:14 UTC,2026-06-05,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30373.744961,30343.268518,30.476444,validators:Ditto
2026-06-05 21:11:45 UTC,2026-06-05,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30502.205270,30465.316237,36.889033,validators:1T1B.AI
2026-06-05 21:12:16 UTC,2026-06-05,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30746.546790,30712.270020,34.276770,validators:TAO.com
2026-06-05 21:12:48 UTC,2026-06-05,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1598.038784,1596.257263,1.781521,validators:TAO.com
2026-06-05 21:13:19 UTC,2026-06-05,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9859.215002,9849.239937,9.975064,validators:Rizzo (Insured)
2026-06-05 21:13:50 UTC,2026-06-05,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6530.154034,6523.367073,6.786961,validators:Tensorplex Labs
2026-06-05 21:14:22 UTC,2026-06-05,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8288.981620,8278.655620,10.326000,validators:Datura
2026-06-06 20:00:04 UTC,2026-06-06,Wallet1_Ditto,5GU1RuZTnencf9ETjtStxSWrh5UyMUxpJDjy5Y74fCnvLCPJ,5HmP9732JFjn,Ditto,30404.145379,30377.122478,27.022901,validators:Ditto
2026-06-06 20:00:36 UTC,2026-06-06,Wallet2_1T1BAI,5F9tvGHYMkoJ95biTvmscmnW6bxzXq5VUsGhX4q4fZvpu2sy,5G9hfkx9wGB1,1T1B.AI,30539.322424,30506.306349,33.016075,validators:1T1B.AI
2026-06-06 20:01:08 UTC,2026-06-06,Wallet3_taobotE2L,5CZtgF1xChRMKXrihA62smGMvhtRCaSsyz1tRqngCJQoVL4f,5HK5tp6t2S59,TAO.com,30780.678211,30750.327293,30.350918,validators:TAO.com
2026-06-06 20:01:39 UTC,2026-06-06,Wallet4_TAOcom,5FnxK1znrcQka73mPaHJgY4s14ryGVvmXtUwFHw9so2AdWsE,5HK5tp6t2S59,TAO.com,1599.812750,1598.235274,1.577476,validators:TAO.com
2026-06-06 20:02:11 UTC,2026-06-06,Wallet5_TAOcom,5DcFxprQ9LCwezrjetRwfJeAd2bVTVgzu3eENRg9tGNnD9on,5CFtzzb4vym9,Rizzo (Insured),9865.863233,9860.321289,5.541944,validators:Rizzo (Insured)
2026-06-06 20:02:46 UTC,2026-06-06,Wallet6_taobotTAOcom,5GUEJ2h8anTrN2UpJTTyPopbKKCRkAC3WsFc2wrqTbFpmN6U,5E4z3h9yVhmQ,Tensorplex Labs,6537.860128,6530.970133,6.889995,validators:Tensorplex Labs
2026-06-06 20:03:17 UTC,2026-06-06,Wallet7_DittoTAOcom,5HYKqWwQgcWnRNbzCwX6gDA9RF6VBdAmaKxJFyQ17NUTiHGg,5GP7c3fFazW9,Datura,8299.936956,8290.164229,9.772727,validators:Datura
